Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
f`qa`DM@IKTiLsoZrscoPPEUUE@R@@	[C@@H](c1ccc(c(c1)O)O)(O)C[NH2+]C1CCC1	Resultados/ZINC000000000551_rank1.pdb	224.279	-0.6684	-1.498	4	4	166.59	0.28237	77.3	-2.4223	0.6875	0.47548	0.65645	4	
dc^D@DCdfVUljFUujijjbqTf`h@	O=C1NC(=O)[C@H]2[C@@H]1[C@@H]1CC[C@H]2C1	Resultados/ZINC000000000552_rank1.pdb	165.191	0.1029	-1.901	3	1	111.24	0.33747	46.17	2.2079	0.5	0	0.78413	0	
fnkA`@@VkdTRTtRabrTReFJMxJRmKUUUUUUUqbEMHt}@qL@@	C[C@]12C[C@H]([C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@]2(C)O)O	Resultados/ZINC000000000554_rank1.pdb	316.439	2.6667	-3.543	3	2	227.97	0.17213	57.53	4.3469	0.47826	0.17674	0.95672	0	
f`i``@D@|dsLjjxiZ][sUAPTTRAJT@@	O=C(N1C[C@H]2COC[C@H]2C1)c1ccccc1	Resultados/ZINC000000000557_rank1.pdb	217.267	1.5793	-1.732	3	0	164.35	0.16179	29.54	2.0982	0.625	0.44838	0.67279	1	
dmvDBE@UeIe]nf`@jbNP@	c1(ccc(cc1)O)[C@@H](C[NH3+])O	Resultados/ZINC000000000558_rank1.pdb	154.188	-3.492	-0.844	3	3	119.95	0.33914	68.1	-2.8651	0.72727	0.41883	0.66644	2	
dmMH`LHPBDie^\kijjfjREr@	C[C@H]1CC(=O)N2CCS[C@H]2N1	Resultados/ZINC000000000560_rank1.pdb	172.251	0.738	-1.06	3	1	122.04	0.37316	57.64	5.4267	0.54545	0.13171	0.73647	0	
fbuq`FHZBABhRc`rdwLjnnlJUgM@PUUUQPl`@	[C@@H]1(CCc2cc(c(cc2N1)N(=O)=O)CO)C[NH2+]C(C)C	Resultados/ZINC000000000570_rank1.pdb	280.347	-0.9492	-3.18	6	3	213.54	0.29372	94.69	-5.9746	0.6	0.43455	0.8024	5	
dmvD@D@dfzurijjjdrT`@	[C@@H]1(O[C@]1(CC)C(=O)N)CCC	Resultados/ZINC000000000571_rank1.pdb	157.212	0.4985	-1.677	3	1	132.63	0.34653	55.62	0.81818	0.63636	0.47093	0.80507	4	
deVDBFBfeJY~ljjjjbH@	[C@H]1(COCO1)C[N+](C)(C)C	Resultados/ZINC000000000573_rank1.pdb	146.209	-3.463	-0.137	3	0	116.44	0.10632	18.46	-0.78101	0.6	0.41144	0.55452	2	
ffc``@D@YdTTQTTTTRbQ|dI\uZjj@BB@`@@	C1(c2ccccc2CCc2ccccc12)OCC(=O)N(C)C	Resultados/ZINC000000000580_rank1.pdb	295.381	3.2034	-2.845	3	0	235.87	0.11273	29.54	1.527	0.45455	0.32033	0.75032	3	
fa{pb@BZkIPHcHhhldhleEEDTsdTu[WlDASUUUUEVKKtk@@	Nc1cc(c(cc1Cl)C(=O)N[C@H]1C[N@@]2CC[C@H]1CC2)OCC1CC1	Resultados/ZINC000000000587_rank1.pdb	349.861	2.3149	-3.73	5	2	253.79	0.21009	67.59	6.6752	0.5	0.38627	0.81951	5	
dk]D@DxJRYY{Tjtvjh@HSHR@	N[C@@H]1NC(=O)[C@@H](O1)c1ccccc1	Resultados/ZINC000000000591_rank1.pdb	178.19	0.5868	-1.035	4	2	132.49	0.37565	64.35	2.5945	0.61538	0.38535	0.61678	1	
diFD@LADf^]jjhJ@@	[C@@H](C)(CCC)OC(=O)N	Resultados/ZINC000000000593_rank1.pdb	131.174	1.1807	-2.068	3	1	114.31	0.33514	52.32	-2.7462	0.77778	0.46854	0.51986	4	
fj}a@DO@}NQQISJQIXiJTYHsoP@UUUTtTSddcKr@@	[N@@H+]1(CC[C@@]2(C)c3cc(ccc3C[C@@H]1[C@@H]2C)O)CC=C(C)C	Resultados/ZINC000000000596_rank1.pdb	286.437	2.0695	-3.312	2	2	241.15	0.12727	24.67	-0.75913	0.57143	0.27726	0.88665	2	
fas`PDO@yHOiRYefU_yWeVjuhJHhjjjbQzEP@	C(=O)(c1c(cc(cc1OC)OC)OC)CCC[N@@H+]1CCC[C@H](C)C1	Resultados/ZINC000000000599_rank1.pdb	336.45	0.8157	-3.133	5	1	289.71	0.20928	49.2	-1.5315	0.58333	0.50833	0.73452	8	
dknD@DATf^UuFVh@J`@@	c1(ccc(cc1)NC(=O)C)OCC	Resultados/ZINC000000000602_rank1.pdb	179.218	1.6996	-2.276	3	1	150.75	0.22886	38.33	-1.0225	0.76923	0.46547	0.56122	3	
dg\D`AtHaIe]kjf`@jjbN`@	[C@@](C)(C(C)(C)O)(O)c1ccc(Cl)cc1	Resultados/ZINC000000000603_rank1.pdb	214.691	2.3547	-2.701	2	2	158.98	0.1648	40.46	0.4605	0.57143	0.56814	0.65788	2	
fbuQ@@DI@drlskNj[t\mUPP@A@PI@@	N(C(=O)Cc1ccc(N)cc1)[C@H](C)Cc1ccccc1	Resultados/ZINC000000000614_rank1.pdb	268.359	2.6267	-3.475	3	2	223.03	0.17832	55.12	3.9618	0.7	0.5932	0.57758	5	
foAPA@DR@DTBDfVmg\VkNZjjjVdXcD@	[C@]1(CCCS1)(C(=S)NC)[C@H]1C=CC=CN1	Resultados/ZINC000000000617_rank1.pdb	240.394	0.8823	-2.974	2	2	189.07	0.36182	81.45	1.8229	0.53333	0.5368	0.78413	2	
fegP`@DeAGHhhhddicMBhdeHvg]Ft@@AEMUKAHmLp@	c1(cccc(c1)C(=O)c1ccccc1)[C@H](C)C(=O)N[C@H]1NC=CC(=C1)C	Resultados/ZINC000000000623_rank1.pdb	346.429	3.3011	-4.936	4	2	278.67	0.17584	58.2	3.9231	0.57692	0.45033	0.75474	5	
dg~HBA@YrJJIHqIMqvuUUUUBH@	C([C@@H]1C(=O)CCCC1)[NH+]1CCCCC1	Resultados/ZINC000000000626_rank1.pdb	196.313	-0.0703	-2.041	2	1	178.69	0.17141	21.51	-8.6048	0.64286	0.48773	0.57505	2	
flea`@D@EIIf_meZRL]yjjZjjidJSd@	O([C@H]1C[C@@H](C)CC(C1)(C)C)C(=O)CN1C=CCC1=O	Resultados/ZINC000000000636_rank1.pdb	265.352	1.8054	-2.673	4	0	209.79	0.1889	46.61	-0.61665	0.52632	0.38722	0.66485	4	
ffcA`@@HTdssKLn|lmF}DkTADMUUQTHh@	c1(cc(C)cc2c1C1=C(CC[C@H](C)C1)C(C)(C)O2)OC(=O)C	Resultados/ZINC000000000644_rank1.pdb	300.397	4.1954	-4.158	3	0	232.42	0.14216	35.53	-3.3085	0.40909	0.13779	0.92572	2	
fhq``@D@HdsOOstscUKUUUPT`@	CC1=CC(=O)N(C(=C1)C[C@@H](C)CC(C)(C)C)O	Resultados/ZINC000000000645_rank1.pdb	237.342	2.9044	-2.838	3	1	195.55	0.15183	40.54	-9.5777	0.52941	0.56558	0.68031	4	
fakaPDM@Qeo]SdTRbbRbtRfdIuXJRmZfjjjjjfiaErJfhYNTBH	C/C=C\1/C[C@H](C)[C@@](C)(C(=O)OC[C@@H]2CC[N@@H+]3CC[C@H](OC1=O)[C@H]23)O	Resultados/ZINC000000000649_rank1.pdb	338.422	-0.2388	-1.993	6	2	263.65	0.29118	77.27	3.5812	0.375	0.26483	0.85449	0	
fnkP`@DLA[HhheDeCDmEefBehNZmZjj`XJJjJAD@	O=C(N1CC(=O)N2CCc3ccccc3[C@@H]2C1)C1CCCCC1	Resultados/ZINC000000000655_rank1.pdb	312.412	2.5396	-2.409	4	0	237.7	0.13959	40.62	-0.071538	0.52174	0.28817	0.85157	1	
dknD@LADf^YWtvjjjjBP@	[C@@H](CC)(OC(=O)N)C1CCCCC1	Resultados/ZINC000000000660_rank1.pdb	185.266	2.0704	-3.124	3	1	156.09	0.24544	52.32	-2.6537	0.61538	0.47864	0.57233	4	
dklL@@ptiin[qjjjjjDP@	C1(OC[C@@H](O1)CO)(C(C)C)C(C)C	Resultados/ZINC000000000665_rank1.pdb	188.266	1.216	-1.671	3	1	150.82	0.21947	38.69	-1.1261	0.53846	0.48429	0.62294	3	
fhiI`@DXtX@kYEEEEDbhdrQoMUSUUSPT`@	N1(C(=O)C2=C(NCN2C)N(C)C1=O)C[C@@H](C)O	Resultados/ZINC000000000675_rank1.pdb	240.262	-0.4913	-1.918	7	2	170.43	0.35962	76.12	3.0484	0.47059	0.31477	0.85231	2	
fdyqa@IZ}pS`QA@cHhheHeThbqUoPPKESTTKH@	[C@@H]1(NC(=O)c2cc(c(Cl)cc2N1)S(=O)(=O)N)CC	Resultados/ZINC000000000686_rank1.pdb	289.742	0.8072	-3.053	6	3	191.47	0.41683	109.67	5.8311	0.55556	0.27452	0.83521	2	
dg^LBBAKJTfz~U}Mjj@BHr@@	C[C@]([NH3+])(Cc1ccc(cc1)O)C(=O)O	Resultados/ZINC000000000693_rank1.pdb	196.225	-2.9583	-1.354	4	3	147.87	0.36329	85.17	-2.5651	0.64286	0.64029	0.55597	3	
fbe`P@M@PEJSKJ~rlteMPPEUUPar|`@	c1(ccc(cc1)N(C[C@@H](C)O)C[C@@H](C)O)C(=O)OCC	Resultados/ZINC000000000704_rank1.pdb	281.351	1.5531	-2.435	5	2	227.07	0.23248	70	-2.8696	0.6	0.64756	0.63126	8	
fdeA`@@ZCdTTRabbrrYpug^ZYjjjZhgHIFgd@	CC1=C2[C@@H]3OC(=O)[C@H](C)[C@@H]3CC[C@]2(C)C=CC1=O	Resultados/ZINC000000000707_rank1.pdb	246.305	1.8467	-2.704	3	0	180.13	0.2003	43.37	1.8123	0.44444	0.16886	0.89091	0	
dkoLAHHPSXeNrJZJIHqaZfjjdYJ`@	C[C@H]1NC=C(N1C[C@@H](C)O)N(=O)=O	Resultados/ZINC000000000711_rank1.pdb	187.198	-0.6615	-2.324	6	2	139.77	0.41876	81.32	-3.1375	0.53846	0.55864	0.73445	3	
flyPRDL^``U`AGirRPzJKKSIQVejB@jjbAd@	c1(ccc(c(c1)NS(=O)(=O)C)O)[C@@H](C[NH2+]C(C)C)O	Resultados/ZINC000000000720_rank1.pdb	289.375	-1.3801	-2.525	6	4	209.28	0.3535	111.62	3.8901	0.57895	0.51683	0.72413	5	
fheP@D@FANRQQIQKEILeqVc^CUUUUUUU@JDHfKR@@	C1CC[N@@]2C[C@@H]3C[C@@H](C[N@@H+]4CCCC[C@H]34)[C@H]2C1	Resultados/ZINC000000000721_rank1.pdb	235.393	0.1639	-2.12	2	1	195.5	0.10813	7.68	1.0298	0.52941	0.20745	0.82315	0	
dknL@LAFRYvyWSZj`@Hj@@	[C@H](COC(=O)N)(O)c1ccccc1	Resultados/ZINC000000000725_rank1.pdb	181.19	0.2844	-1.737	4	2	142.14	0.36169	72.55	1.4145	0.69231	0.53375	0.53648	4	
dcNDBE@UeIe]mih@JjHy@@	c1(ccc(cc1)O)[C@@H](C[NH2+]C)O	Resultados/ZINC000000000733_rank1.pdb	168.215	-1.1944	-0.76	3	3	132.22	0.25669	57.07	-1.6884	0.75	0.45489	0.59725	3	
fns@p@@HxXM\bbTRRVabbRtIRVdeZ``a``ahHD`@	C(=O)(c1c(cccc1)OC(=O)C)O[C@H]1OC(=O)c2ccccc12	Resultados/ZINC000000000735_rank1.pdb	312.276	2.4035	-3.555	6	0	227.53	0.30378	78.9	-1.061	0.52174	0.27238	0.81997	5	
dg]DbJTa@HVTi[vuljfjjjdQ\`@	[C@H](C[NH2+]C(C)C)(O)CO[C@@H]1NC=CS1	Resultados/ZINC000000000738_rank1.pdb	219.328	-0.7483	-1.514	4	3	169.08	0.35362	83.4	0.18991	0.71429	0.57001	0.48104	6	
fj}Pb@ARCDDQdTRTrbbTVRMFZmdl@EUTC@DHyKH@	CN1C(=O)[C@@H](N[C@H](c2cc(Cl)ccc12)c1ccccc1)O	Resultados/ZINC000000000740_rank1.pdb	302.76	2.5039	-3.466	4	2	218.06	0.18871	52.57	3.7111	0.42857	0.2949	0.85945	1	
ffsAP@@HdhnQQJQJQZjJKPcIF]{MVjjjjjijhVHQTcDYVSey@@	C[C@@H]1C[C@@H]2OC(=O)[C@]3(C)[C@H]2[C@H](O[C@@]3(C)O)[C@@]2(C)C(=O)CC[C@H]12	Resultados/ZINC000000000744_rank1.pdb	308.373	1.1685	-3.045	5	1	205.4	0.28812	72.83	1.4926	0.36364	0.067535	1.0065	0	
fak`P@D@EIvQQQQIKKPqQEPcMVCEjfZjZjfjd^dT@	O(C(=O)[C@@H]1[C@H](C1(C)C)C=C(C)C)CN1C(=O)C2=C(CCCC2)C1=O	Resultados/ZINC000000000753_rank1.pdb	331.41	2.9536	-3.284	5	0	247.43	0.21287	63.68	-2.6054	0.54167	0.4208	0.84127	5	
dco@@@bdjVu\fWZjjjZD`@	[C@@H]1(C2=C(NN1C)CCCC2)NC	Resultados/ZINC000000000757_rank1.pdb	167.255	-0.3857	-1.353	3	2	134.7	0.19651	27.3	-1.313	0.58333	0.25052	0.79082	1	
fj}PBDNA@DAgIEEEDdelXiJ\e[Sj@H@`jj`az@@	N1(c2ccccc2Sc2ccccc12)C[C@H](C)[N+](C)(C)C	Resultados/ZINC000000000761_rank1.pdb	299.461	0.968	-3.908	2	0	228.49	0.058733	28.54	1.9333	0.42857	0.39565	0.81672	3	
fbuqc@IVSpQ`QA@bHQdTTRdSTfbQXktXHEbjjhdZWh@	c1(ccc(Cl)c(c1)S(=O)(=O)N)[C@]1(CS[C@@H](NC)N1C)O	Resultados/ZINC000000000785_rank1.pdb	337.851	1.0701	-1.233	6	3	219.07	0.40832	129.34	4.6722	0.5	0.45511	0.8467	3	
fa{Q@DMAAjTfUm]e]fVcIJ|EoX@Jjjj@`JHJP@	N1(CC[NH+](CC1)[C@H]1CCc2cc(ccc2C1)O)c1c(C)cccc1	Resultados/ZINC000000000792_rank1.pdb	323.458	1.6466	-3.401	3	2	268.09	0.12772	27.91	0.66741	0.625	0.37741	0.7971	2	
fi{aPDG@ishwSdbfbbRNTRbRrPeQsUmADQUTDAQDKH@	[C@H]1([NH2+]CCc2cc(c(cc12)O)O)Cc1cc(c(c(c1)OC)OC)OC	Resultados/ZINC000000000802_rank1.pdb	346.402	2.2391	-2.509	6	3	260.52	0.24543	84.76	-1.4498	0.52	0.45796	0.83726	5	
fbu`R@DFmzH@aIfYU^]^QmNZhJBbjh@@	c1(cc(cc(c1OC)OC)C(=S)N1CCOCC1)OC	Resultados/ZINC000000000814_rank1.pdb	297.374	1.8218	-1.31	5	0	234.59	0.305	72.25	1.0625	0.55	0.49066	0.71956	4	
ff}`P@D@\GNQQQQIIIQKIGWkQZhJBhjjH@@	c1(cc(cc(c1OC)OC)C(=O)N1CCCCCCC1)OC	Resultados/ZINC000000000815_rank1.pdb	307.389	3.2623	-2.809	5	0	250.91	0.18568	48	-1.2035	0.54545	0.52108	0.7268	4	
fjmPPDDZA[r]SdTRbbRRbVRJgFBuAPUEUQPI@@	c1(cc(cc(c1OC)OC)C(=O)N[C@@H]1CCC[NH2+]C1)OC	Resultados/ZINC000000000817_rank1.pdb	295.358	0.8755	-2.224	6	2	231.03	0.2694	73.4	0.8265	0.57143	0.44502	0.72855	5	
defH@DAInYVjjdqE@@	[C@@H](CC)(C(=O)N)[C@H](C)CC	Resultados/ZINC000000000825_rank1.pdb	143.229	1.5573	-1.935	2	1	129.07	0.21934	43.09	3.2366	0.6	0.70171	0.64124	4	
f`aPP@E^@bSlbbTbTqRaFMUTuKRLHd@@	[C@]1(C[C@@H](C)OC1=O)(CC=C)C(=O)NC(=O)N	Resultados/ZINC000000000826_rank1.pdb	226.231	-0.2598	-2.179	6	2	170.46	0.44497	98.49	-4.0398	0.5	0.55898	0.77933	3	
fakP`DC]APtyHihdeeDbeDenRLzkZBBJjj@BHPiF`@	c1(cc2c(cc1OC)[C@@H](C)[N@@H+](CC2)CCc1ccc(N)cc1)OC	Resultados/ZINC000000000829_rank1.pdb	327.446	1.1338	-3.097	4	2	276.7	0.19104	48.92	-1.7984	0.625	0.40009	0.81951	5	
fdyH`@DXEXFdfYfWV}dcVZjifjjdJad@	N1(C(=O)N(C)C(=O)C2=C1N[C@H](N2)C)C[C@H](C)CC	Resultados/ZINC000000000831_rank1.pdb	252.317	1.302	-2.901	6	2	190	0.29526	64.68	4.9439	0.5	0.42171	0.86289	3	
fbcQ@@D^@dsKLjjzqWIVcyH\uU@tEQUEX`fQT@@	[C@@H]1(C[C@@H]2CCC[N@]3CCc4c(n1c1ccccc41)[C@@H]23)O	Resultados/ZINC000000000838_rank1.pdb	268.359	2.9971	-3.2	3	1	193.27	0.1217	28.4	3.0975	0.45	0.1681	0.97507	0	
fiwQ`DKA@aeiR[f[WUe]TRcVbgI^cZjjjjfh@jAfDQTPdYV`@	[C@@H]1([C@H]2C[C@H]3c4[nH]c5ccccc5c4CC[N@H+]3C[C@H]2CC[C@H]1O)C(=O)O	Resultados/ZINC000000000847_rank1.pdb	341.43	-0.1864	-2.937	5	4	256.78	0.2758	77.76	0.54995	0.44	0.21823	0.94167	1	
f`qPb@I^Lx@QdbbbVbtlqPVjA`hih`r@@	c1(cc2ccccc2s1)[C@H](C)N(C(=O)N)O	Resultados/ZINC000000000850_rank1.pdb	236.294	1.227	-3.235	4	2	171.48	0.38092	94.8	1.8442	0.5625	0.47477	0.74654	2	
fncPR@OA`cMPAFRRFJIIKYIJJJlYrt@@@USL@@@	S(=O)(=O)(c1ccc(cc1)NC(=O)C)c1ccc(cc1)NC(=O)C	Resultados/ZINC000000000861_rank1.pdb	332.379	1.7722	-3.836	6	2	244.54	0.31725	100.72	2.9118	0.65217	0.5245	0.66071	4	
fbu`P@@`QINQQJJJIKXiSSk^Z`B@@i`@@	c1(ccc(cc1)OC(=O)c1ccccc1O)NC(=O)C	Resultados/ZINC000000000865_rank1.pdb	271.271	2.4481	-3.132	5	2	208.59	0.29071	75.63	0.5905	0.65	0.41246	0.65205	4	
dg}DPFES@H`HRenUVrnFijifX@@	c1(c2-c(css2)n(C)c1=O)NC(=O)C	Resultados/ZINC000000000868_rank1.pdb	228.296	0.6614	-2.246	4	1	150.89	0.50414	100.01	1.8136	0.5	0.28809	0.79438	1	
fdi@p@@HyIpTf^Ye^yQfhHbIf@@@	c1(cccc(c1OC(=O)C)OC(=O)C)OC(=O)C	Resultados/ZINC000000000869_rank1.pdb	252.221	1.6197	-2.516	6	0	193.29	0.3576	78.9	-2.1022	0.5	0.23524	0.6715	6	
dev`@@rngIEDeKPmuSUUPL@	N[C@@H]1NCNC2=C1NCN2	Resultados/ZINC000000000882_rank1.pdb	141.177	-1.1519	-2.594	5	5	103.8	0.58873	74.14	1.0316	0.5	0.18456	0.75224	0	
foAHA@IZlxDPjHRYeg}f\EJfZZif@@	n1(cc2c(Cl)ccc(Cl)c2c1)NC(=N)N	Resultados/ZINC000000000886_rank1.pdb	243.097	1.5653	-5.58	4	3	168.19	0.29253	66.83	3.5513	0.53333	0.33645	0.77499	1	
dkmLaAWmLHaYOlbbbTRlZXHFI`@@	c1(ccc(cc1Cl)N(=O)=O)C(=O)N	Resultados/ZINC000000000887_rank1.pdb	200.581	0.4313	-2.901	5	1	138.62	0.42368	88.91	-5.7337	0.61538	0.47024	0.72612	2	
fhy@`@@HRYYuY^HrRg^ZfjZjjbDcEIV`@	C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@@H](C)C3=C[C@H]12	Resultados/ZINC000000000888_rank1.pdb	232.322	2.6334	-3.219	2	0	175.68	0.13115	26.3	-9.6073	0.47059	0.16846	0.85194	0	
fjc@`@@ErJJQIFYQPiXgIJmyNVjjjj@BjJHaHJJVd@	C[C@H]1Cc2cc(ccc2[C@H]2CC[C@@]3(C)C(=O)CC[C@H]3[C@H]12)O	Resultados/ZINC000000000898_rank1.pdb	284.398	4.2896	-4.231	2	1	210.59	0.12413	37.3	-0.3027	0.52381	0.10881	0.89985	0	
dg~`@@pj[IEEDkDeWG]UU@ABPd`@	N[C@@H]1NCN[C@@H](N1)Nc1ccccc1	Resultados/ZINC000000000907_rank1.pdb	193.253	1.4609	-1.283	5	5	152.88	0.39973	74.14	0.26274	0.64286	0.57374	0.53395	2	
fbuqb@OAsABPAFRRFJIIKYKQUcNV`@@Bi`@@	c1(ccc(cc1)S(=O)(=O)c1ccc(N)cc1)NC(=O)N	Resultados/ZINC000000000913_rank1.pdb	291.33	0.7687	-3.833	6	3	207.85	0.40231	123.66	3.3601	0.65	0.50898	0.62953	3	
dg_D@DpPwHhhhhdbtmUTsL@@	N1(C(=CC(=O)N(C1=O)CC)N)CC=C	Resultados/ZINC000000000921_rank1.pdb	195.221	0.3384	-2.404	5	1	153.65	0.31533	66.64	0.71562	0.57143	0.48347	0.70997	3	
dg_D@DpPwHhhhheXtmUTrt@@	N1(C(=CC(=O)N(C)C1=O)N)CC(=C)C	Resultados/ZINC000000000925_rank1.pdb	195.221	0.5385	-2.228	5	1	150.36	0.32223	66.64	-6.9229	0.57143	0.49635	0.71194	2	
fbu``DE@|jTiefUUisI]fj`B@J`@@@	C(OCC[N+](C)(C)O)(c1ccccc1)c1ccccc1	Resultados/ZINC000000000932_rank1.pdb	272.367	0.7853	-0.142	3	1	219.79	0.070431	29.46	-1.6125	0.5	0.55828	0.54381	6	
fle`c@AJ\BHIDIbDfYw[f]YpLXHBfB@`@@	O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)ccc1O	Resultados/ZINC000000000939_rank1.pdb	316.571	4.2794	-5.04	3	2	214.84	0.17501	49.33	0.81293	0.57895	0.47067	0.7268	2	
ff}h@@@AbfnQJQPiQZQHsJRbuzh@JjnjH@@	CC(C)(C#N)c1cc(cc(c1)C(C)(C)C#N)CN1CNCN1	Resultados/ZINC000000000941_rank1.pdb	297.405	1.4933	-4.829	5	2	247.54	0.21649	74.88	-4.6661	0.45455	0.5356	0.75474	4	
figA`@@E[dTRTtRaRfbQTuFJt{t\mUUUUUUMUWBQbDmRt|hp@	[C@H]1(CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CC	Resultados/ZINC000000000945_rank1.pdb	346.509	4.5397	-5.005	3	0	262.7	0.13734	43.37	1.0868	0.56	0.21387	0.92703	3	
figA`@@E[dTRRTRaRfbQTuFJt{t\mMUUUUUMUWJQdDmRt|hp@	[C@H]1(CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CC	Resultados/ZINC000000000947_rank1.pdb	344.493	4.2643	-4.777	3	0	261.68	0.13788	43.37	2.3605	0.56	0.23297	0.9311	3	
fjc@`@@ErJJQIFYJSKXgIJlyNVjjjjjjjnHQHIJahyYP@	C[C@]12CC[C@@H]3[C@H](CC[C@@H]4C[C@H](CC[C@@]34C)O)[C@@H]1CCC2=O	Resultados/ZINC000000000948_rank1.pdb	290.445	3.6007	-4.325	2	1	215.28	0.12142	37.3	0.37708	0.52381	0.16207	0.89202	0	
fbuQ`@LF@cVQQISQJHzIIUdyZhHFH@@@@	c1(ccccc1C(=O)Nc1ccccc1)OC(=O)NC	Resultados/ZINC000000000950_rank1.pdb	270.287	2.5228	-3.607	5	2	213.7	0.27609	67.43	-1.7027	0.6	0.42446	0.71194	4	
dg}@RDlHa`byRYV~UkcnfjjjZB`@	S([C@H]1C=CC=C(Cl)N1)C1CC[NH2+]CC1	Resultados/ZINC000000000958_rank1.pdb	231.77	2.2073	-2.69	2	2	169.86	0.216	53.94	2.6016	0.64286	0.50652	0.56169	2	
fleAp@@XDkSdyHhheDeLUmRPXuUUTDAQRBPbRde@@	[C@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)Oc1ccc(cc1)O)CO	Resultados/ZINC000000000964_rank1.pdb	272.252	-1.0211	-0.91	7	5	187.77	0.45534	119.61	-4.6793	0.57895	0.33729	0.75547	3	
flui`@FF]EHBZRYfvv]vgKNCFjjjijjjdHbXeHF@@	N[C@@H]1NCNC2=C1NCN2[C@H]1C[C@H]([C@@H]([C@@H]1O)O)CO	Resultados/ZINC000000000966_rank1.pdb	271.32	-2.0469	-2.391	8	7	185.71	0.49809	126.04	-0.47981	0.52632	0.37208	0.85009	2	
fluhA@IF]EHHcdadTTRblTRVSAV\FLADUSUQT@p@	N[C@@H]1NCNC2=C1NCN2Cc1c(F)cccc1Cl	Resultados/ZINC000000000969_rank1.pdb	283.737	1.2259	-4.605	5	4	197.93	0.26878	65.35	1.6943	0.52632	0.47152	0.80135	2	
fluPb@LI``@QddabbRRbbyhv|xJuPTETQRIQR@@	S(=O)(=O)(c1ccc(N)cc1)N1C[C@@H]2CC[C@@H](CC2)C1	Resultados/ZINC000000000974_rank1.pdb	280.391	1.7765	-2.463	4	1	201.22	0.23556	71.78	3.9326	0.52632	0.44264	0.70492	1	
flupa@G^RJPHcTQdTTRTbrUbSNFmELAAUUUQP@@	C1(OCCO1)(c1ccc(Cl)cc1Cl)CN1CNCN1	Resultados/ZINC000000000975_rank1.pdb	304.176	0.8033	-2.871	5	2	209.53	0.22178	45.76	-3.0635	0.52632	0.44111	0.80446	3	
f`aqA@DDthDQpHRYWUnVcJZjfjd@@	c1(ccc(Cl)[nH][nH]1)SCC(=O)N(CC)CC	Resultados/ZINC000000000984_rank1.pdb	261.776	0.6414	-2.965	4	2	199.1	0.28629	69.67	5.1768	0.6875	0.73755	0.56169	5	
fncaP@L`QJM\bbTTTRRVtqTuzpVh@`BAjX@@@	O(c1ccc(cc1)NC(=O)C)C(=O)c1ccccc1OC(=O)C	Resultados/ZINC000000001003_rank1.pdb	313.308	2.7805	-3.728	6	1	242.25	0.29135	81.7	0.58854	0.6087	0.38766	0.71956	6	
do}L`IlS\HaIe]m[ih@IjZ@@	N(C(=O)c1ccc(Cl)cc1)CC(=O)NO	Resultados/ZINC000000001008_rank1.pdb	228.634	0.32	-2.407	5	3	167.21	0.37139	78.43	1.5206	0.73333	0.58598	0.57505	3	
fnsaBDLeADYeIfV^uU_i`eFBffYjfifjZ`i@@	C(C1=c2c(=CC=C3[C@@H]1C=CC=C3)c(Cl)ccc2)CC[N+](C)(C)O	Resultados/ZINC000000001009_rank1.pdb	328.862	1.779	-0.917	2	1	255.5	0.021448	20.23	-0.96189	0.43478	0.39196	0.86889	4	
fdyPb@LJ``@QddebRrRbREHLUh@J`@@@@	c1(ccc(cc1)NCc1ccccc1)S(=O)(=O)N	Resultados/ZINC000000001022_rank1.pdb	262.332	1.4887	-2.898	4	2	195.34	0.28315	80.57	2.7216	0.66667	0.59184	0.60487	4	
fhi@`@@HrJIJJJQFIUkAZjjjjjpRLed@	[C@H]1(C[C@H]2CC[C@]1(C)C2(C)C)OC(=O)CC(C)C	Resultados/ZINC000000001037_rank1.pdb	238.369	3.6473	-3.511	2	0	188.91	0.12196	26.3	-5.3708	0.52941	0.35035	0.76657	4	
fleQR@NBYhtT`qDeYgUmUEIwjiZijjjpjNWd@	O=C1NC(=O)N(C=C1CCBr)[C@@H]1C[C@H]([C@@H](O1)CO)O	Resultados/ZINC000000001043_rank1.pdb	335.153	-0.4362	-1.927	7	3	202.34	0.38198	99.1	-5.3884	0.57895	0.48397	0.80998	4	
do}H`NOPqDfUuVzf`@jfh@@	N(CCC(=O)N(C)C)c1ccc(Br)cc1	Resultados/ZINC000000001049_rank1.pdb	271.157	1.8364	-2.185	3	1	183.44	0.15291	32.34	1.5467	0.73333	0.63981	0.4995	4	
