Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
fdi`aDKDtBHUDVgHhhdleBeHpTDDUUUDIP@	[C@@H](C[NH2+]C(C)(C)C)(O)COc1cc(Cl)ccc1Cl	Resultados/ZINC000000000174_rank1.pdb	293.213	1.589	-3.549	3	2	215.4	0.14318	46.07	-2.973	0.61111	0.44025	0.62239	6	
fde@b@AJADILkmrjmFFlFL@ETt@@Py@@	[C@@H](O)(c1ccc(Cl)cc1)c1cc2ccccc2o1	Resultados/ZINC000000000176_rank1.pdb	258.703	3.8897	-4.679	2	1	191.58	0.14203	33.37	-0.34207	0.61111	0.42031	0.75255	2	
fa{`PDO@IFoirJJIISJIQQXplEXKoYZuMUPUPTUPQbDmSr@@	C1(=C[C@H]2[C@@H]3Cc4ccc(c(c4[C@]2(CC[N@@H+]3C)CC1=O)O)OC)OC	Resultados/ZINC000000000181_rank1.pdb	330.403	-0.3347	-2.703	5	2	253.14	0.25176	60.2	0.56721	0.45833	0.16192	1.0002	2	
fhy`P@G@hrvRJIQYPjKDhISoTEAEUTTMP@	c1(c2c(cc3c1[C@H](N(C)CC3)O)OCO2)OC	Resultados/ZINC000000000186_rank1.pdb	237.254	1.1943	-1.889	5	1	171.21	0.27247	51.16	4.324	0.47059	0.20659	0.86255	1	
fbuA`@@Hhdrs\jmJ[slmUTEAUDXpbPr@@	C(=O)(O[C@@H]1C[C@@H](C)CC(C1)(C)C)[C@H](O)c1ccccc1	Resultados/ZINC000000000189_rank1.pdb	276.375	2.9264	-3.245	3	1	219.83	0.1644	46.53	-3.7379	0.55	0.31513	0.6593	4	
fbmQB@NQ|@HrQQQQII[RjTyJvgT@PA@uT@@@	C(=O)(N1c2ccccc2Sc2ccccc12)CN(C)C	Resultados/ZINC000000000200_rank1.pdb	284.382	3.1969	-3.777	3	0	213.64	0.17614	48.85	4.071	0.45	0.36079	0.83396	2	
dg^DBE@UeIe]mZf`@jjbNP@	[C@H](C[NH2+]C(C)C)(O)c1ccc(cc1)O	Resultados/ZINC000000000209_rank1.pdb	196.269	-0.4288	-1.438	3	3	156.98	0.21621	57.07	-1.5797	0.71429	0.4919	0.54695	4	
ffcQB@NQ|@HrQQQQII[RjITyJvgT@PA@uUP@@@	C(=O)(N1c2ccccc2Sc2ccccc12)CN(CC)CC	Resultados/ZINC000000000214_rank1.pdb	312.436	4.0095	-4.377	3	0	241.16	0.15604	48.85	5.9948	0.45455	0.43837	0.83887	4	
do~H@FAIfYV}dv`hJJHr@@	C(=O)([C@H](C)N(CC)CC)c1ccccc1	Resultados/ZINC000000000215_rank1.pdb	205.3	1.9962	-2.401	2	0	178.11	0.093145	20.31	4.681	0.6	0.57582	0.55303	5	
fi{I@@DTyhFQQJJJZJqIJKKZlfoQmUUUHP@@PHqBP@	[C@H]1(C=C(NN1c1ccccc1)c1ccccc1)NC(=O)[C@H](C)N(C)C	Resultados/ZINC000000000217_rank1.pdb	336.438	1.7377	-2.431	5	2	267.28	0.1611	47.61	7.5377	0.48	0.38498	0.79273	5	
